
"Government announces new scheme providing free internet to rural households.",REAL
"Scientists confirm that drinking coffee five times a day cures cancer.",FAKE
"Local school wins national robotics championship.",REAL
"Celebrity claims that the Earth will end next week during interview.",FAKE
"New technology startup creates AI that can write essays within seconds.",REAL
"Study shows eating chocolate makes you invisible for 10 minutes.",FAKE
"Prime Minister inaugurates Asia’s largest solar power plant.",REAL
"Social media post says that clouds are made of cotton and sugar.",FAKE
"Researchers develop vaccine that is 98% effective against new virus strain.",REAL
"News circulating online says ocean water has turned sweet overnight.",FAKE
